,colour,frequency
654,"(194, 222, 208)",1.0
655,"(248, 247, 243)",1.0
656,"(245, 197, 53)",1.0
657,"(81, 77, 76)",1.0
658,"(133, 54, 57)",1.0
659,"(107, 107, 107)",1.0
660,"(173, 73, 75)",1.0
661,"(98, 89, 84)",1.0
662,"(71, 172, 112)",1.0
663,"(39, 156, 176)",1.0
664,"(64, 99, 153)",1.0
665,"(105, 146, 152)",1.0
666,"(233, 223, 211)",1.0
667,"(182, 102, 115)",1.0
668,"(228, 138, 129)",1.0
669,"(243, 115, 106)",1.0
670,"(145, 190, 63)",1.0
671,"(243, 171, 193)",1.0
672,"(176, 87, 79)",1.0
673,"(118, 104, 91)",1.0
674,"(236, 225, 239)",1.0
675,"(250, 225, 194)",1.0
676,"(250, 228, 179)",1.0
677,"(199, 165, 200)",1.0
678,"(246, 226, 217)",1.0
679,"(225, 236, 222)",1.0
680,"(92, 92, 92)",1.0
681,"(208, 192, 167)",1.0
682,"(186, 157, 117)",1.0
683,"(126, 137, 159)",1.0
684,"(168, 209, 153)",1.0
685,"(118, 94, 94)",1.0
686,"(151, 210, 224)",1.0
687,"(76, 150, 175)",1.0
688,"(125, 100, 165)",1.0
689,"(94, 76, 74)",1.0
690,"(116, 84, 35)",1.0
691,"(157, 203, 156)",1.0
692,"(139, 114, 154)",1.0
693,"(240, 244, 247)",1.0
694,"(150, 104, 166)",1.0
695,"(87, 178, 222)",1.0
696,"(218, 218, 216)",1.0
697,"(91, 88, 135)",1.0
698,"(102, 97, 120)",1.0
699,"(201, 193, 172)",1.0
700,"(104, 201, 207)",1.0
701,"(0, 108, 183)",1.0
702,"(253, 235, 171)",1.0
703,"(131, 122, 149)",1.0
704,"(146, 191, 210)",1.0
705,"(167, 205, 132)",1.0
706,"(105, 105, 107)",1.0
707,"(81, 100, 81)",1.0
708,"(124, 145, 198)",1.0
709,"(130, 127, 184)",1.0
710,"(51, 42, 109)",1.0
711,"(158, 120, 101)",1.0
712,"(223, 205, 181)",1.0
713,"(207, 229, 243)",1.0
714,"(44, 83, 112)",1.0
715,"(117, 129, 169)",1.0
716,"(237, 205, 128)",1.0
717,"(100, 87, 68)",1.0
718,"(133, 203, 205)",1.0
719,"(239, 195, 210)",1.0
720,"(149, 102, 146)",1.0
721,"(181, 181, 183)",1.0
722,"(211, 190, 75)",1.0
723,"(252, 232, 159)",1.0
724,"(228, 165, 184)",1.0
725,"(249, 230, 171)",1.0
726,"(219, 234, 195)",1.0
727,"(216, 143, 186)",1.0
