,colour,frequency
510,"(195, 75, 74)",1.0
511,"(80, 71, 74)",1.0
512,"(72, 78, 112)",1.0
513,"(160, 214, 240)",1.0
514,"(230, 241, 243)",1.0
515,"(241, 186, 205)",1.0
516,"(98, 100, 99)",1.0
517,"(53, 70, 150)",1.0
518,"(189, 96, 89)",1.0
519,"(193, 189, 203)",1.0
520,"(122, 195, 188)",1.0
521,"(240, 150, 176)",1.0
522,"(172, 174, 231)",1.0
523,"(227, 226, 224)",1.0
524,"(147, 208, 213)",1.0
525,"(107, 103, 100)",1.0
526,"(100, 89, 83)",1.0
527,"(242, 148, 182)",1.0
528,"(172, 148, 100)",1.0
529,"(123, 206, 224)",1.0
530,"(119, 180, 198)",1.0
531,"(250, 221, 141)",1.0
532,"(169, 171, 184)",1.0
533,"(163, 190, 95)",1.0
534,"(186, 211, 192)",1.0
535,"(227, 236, 233)",1.0
536,"(240, 248, 251)",1.0
537,"(165, 129, 105)",1.0
538,"(155, 128, 111)",1.0
539,"(45, 51, 99)",1.0
540,"(190, 215, 157)",1.0
541,"(242, 237, 155)",1.0
542,"(28, 33, 37)",1.0
543,"(236, 232, 223)",1.0
544,"(77, 183, 233)",1.0
545,"(109, 81, 130)",1.0
546,"(241, 161, 66)",1.0
547,"(202, 225, 134)",1.0
548,"(253, 235, 127)",1.0
549,"(174, 132, 92)",1.0
550,"(214, 93, 62)",1.0
551,"(182, 222, 221)",1.0
552,"(246, 237, 194)",1.0
553,"(128, 162, 200)",1.0
554,"(57, 52, 49)",1.0
555,"(173, 202, 118)",1.0
556,"(177, 179, 178)",1.0
557,"(125, 129, 167)",1.0
558,"(124, 156, 195)",1.0
559,"(242, 231, 186)",1.0
560,"(127, 118, 181)",1.0
561,"(77, 66, 62)",1.0
562,"(223, 197, 104)",1.0
563,"(207, 174, 141)",1.0
564,"(99, 132, 111)",1.0
565,"(225, 104, 85)",1.0
566,"(222, 227, 233)",1.0
567,"(255, 229, 144)",1.0
568,"(67, 113, 162)",1.0
569,"(124, 116, 129)",1.0
570,"(216, 205, 159)",1.0
571,"(233, 207, 86)",1.0
572,"(226, 223, 204)",1.0
573,"(250, 250, 250)",1.0
574,"(13, 59, 85)",1.0
575,"(244, 207, 225)",1.0
576,"(224, 142, 128)",1.0
577,"(72, 61, 57)",1.0
578,"(103, 94, 87)",1.0
579,"(169, 169, 171)",1.0
580,"(128, 206, 244)",1.0
581,"(88, 88, 90)",1.0
582,"(250, 225, 141)",1.0
583,"(252, 237, 198)",1.0
584,"(88, 83, 115)",1.0
585,"(151, 192, 70)",1.0
586,"(229, 224, 220)",1.0
587,"(127, 173, 209)",1.0
588,"(119, 110, 141)",1.0
589,"(183, 225, 223)",1.0
590,"(117, 108, 67)",1.0
591,"(149, 144, 140)",1.0
592,"(63, 57, 57)",1.0
593,"(109, 92, 72)",1.0
594,"(158, 80, 94)",1.0
595,"(135, 200, 118)",1.0
596,"(219, 184, 120)",1.0
597,"(164, 148, 125)",1.0
598,"(118, 118, 120)",1.0
599,"(252, 252, 254)",1.0
600,"(141, 198, 153)",1.0
601,"(245, 232, 188)",1.0
602,"(253, 248, 210)",1.0
603,"(251, 246, 226)",1.0
604,"(231, 221, 209)",1.0
605,"(200, 184, 169)",1.0
606,"(194, 177, 187)",1.0
607,"(235, 246, 252)",1.0
608,"(184, 226, 248)",1.0
609,"(99, 174, 105)",1.0
610,"(55, 104, 144)",1.0
611,"(76, 185, 216)",1.0
612,"(212, 186, 173)",1.0
613,"(92, 185, 200)",1.0
614,"(171, 172, 174)",1.0
615,"(119, 151, 54)",1.0
616,"(212, 109, 104)",1.0
617,"(104, 109, 112)",1.0
618,"(232, 63, 66)",1.0
619,"(184, 117, 62)",1.0
620,"(195, 87, 85)",1.0
621,"(64, 131, 186)",1.0
622,"(178, 87, 56)",1.0
623,"(159, 141, 139)",1.0
624,"(215, 214, 232)",1.0
625,"(37, 79, 93)",1.0
626,"(147, 192, 109)",1.0
627,"(136, 110, 137)",1.0
628,"(169, 120, 51)",1.0
629,"(30, 30, 30)",1.0
630,"(237, 236, 218)",1.0
631,"(79, 72, 64)",1.0
632,"(250, 219, 111)",1.0
633,"(242, 151, 166)",1.0
634,"(241, 246, 252)",1.0
635,"(149, 194, 101)",1.0
636,"(191, 167, 217)",1.0
637,"(95, 95, 95)",1.0
638,"(183, 183, 193)",1.0
639,"(226, 218, 182)",1.0
640,"(183, 164, 168)",1.0
641,"(237, 243, 229)",1.0
642,"(213, 187, 174)",1.0
643,"(122, 203, 232)",1.0
644,"(158, 160, 201)",1.0
645,"(72, 72, 74)",1.0
646,"(242, 205, 213)",1.0
647,"(138, 186, 224)",1.0
648,"(253, 250, 241)",1.0
649,"(91, 77, 74)",1.0
650,"(123, 153, 207)",1.0
651,"(208, 194, 219)",1.0
652,"(93, 86, 138)",1.0
653,"(93, 93, 93)",1.0
654,"(205, 224, 228)",1.0
655,"(205, 225, 214)",1.0
656,"(180, 209, 129)",1.0
657,"(167, 212, 143)",1.0
658,"(46, 82, 108)",1.0
659,"(157, 106, 75)",1.0
660,"(253, 252, 250)",1.0
661,"(139, 159, 96)",1.0
662,"(218, 214, 211)",1.0
663,"(201, 132, 93)",1.0
664,"(0, 114, 187)",1.0
665,"(224, 129, 71)",1.0
666,"(36, 34, 35)",1.0
